ID,State,ABB,Unemployment rate,, *Estimate; Population 16 years and over
1,Alabama,AL,8.60,,
2,Alaska,AK,7.60,,
4,Arizona,AZ,7.90,,
5,Arkansas,AR,6.80,,
6,California,CA,8.50,,
8,Colorado,CO,5.50,,
9,Connecticut,CT,7.90,,
10,Delaware,DE,6.70,,
11,District of Columbia,DC,8.90,,
12,Florida,FL,8.00,,
13,Georgia,GA,8.30,,
15,Hawaii,HI,5.40,,
16,Idaho,ID,5.50,,
17,Illinois,IL,8.10,,
18,Indiana,IN,7.10,,
19,Iowa,IA,4.40,,
20,Kansas,KS,5.20,,
21,Kentucky,KY,7.60,,
22,Louisiana,LA,7.50,,
23,Maine,ME,5.90,,
24,Maryland,MD,7.20,,
25,Massachusetts,MA,6.70,,
26,Michigan,MI,8.30,,
27,Minnesota,MN,4.70,,
28,Mississippi,MS,9.80,,
29,Missouri,MO,6.80,,
30,Montana,MT,4.90,,
31,Nebraska,NE,4.20,,
32,Nevada,NV,8.90,,
33,New Hampshire,NH,5.10,,
34,New Jersey,NJ,7.50,,
35,New Mexico,NM,8.70,,
36,New York,NY,7.30,,
37,North Carolina,NC,8.30,,
38,North Dakota,ND,3.00,,
39,Ohio,OH,7.20,,
40,Oklahoma,OK,5.70,,
41,Oregon,OR,7.80,,
42,Pennsylvania,PA,7.00,,
44,Rhode Island,RI,7.80,,
45,South Carolina,SC,8.10,,
46,South Dakota,SD,3.90,,
47,Tennessee,TN,7.80,,
48,Texas,TX,6.10,,
49,Utah,UT,5.00,,
50,Vermont,VT,5.50,,
51,Virginia,VA,6.10,,
53,Washington,WA,6.50,,
54,West Virginia,WV,6.90,,
55,Wisconsin,WI,5.30,,
56,Wyoming,WY,4.30,,
72,Puerto Rico,PR,18.50,,